time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid
2016-09-19T03:00:06Z,-34.695384,-58.295770,20.0,39.0,,0.0,9,gps,1,,,-1.8,22.0,M
2016-09-19T03:00:25Z,-34.695384,-58.295771,20.0,35.0,,0.0,12,gps,1,0.8,1.3,-1.8,22.0,M
2016-09-19T03:00:41Z,-34.695384,-58.295771,20.0,40.0,,0.0,8,gps,1.2,0.8,1.5,-1.9,22.0,M
2016-09-19T03:00:58Z,-34.695385,-58.295771,20.0,37.0,,0.0,9,gps,1,0.8,1.4,-2.0,22.0,M
2016-09-19T03:01:22Z,-34.695385,-58.295771,20.0,30.0,,0.0,9,gps,1,1.0,4.6,-2.0,22.0,M
2016-09-19T03:01:49Z,-34.695385,-58.295771,20.0,32.0,,0.0,11,gps,1,1.0,8.7,-2.0,22.0,M
2016-09-19T03:15:27Z,-34.695385,-58.295771,20.0,39.0,,0.0,7,gps,1,1.0,3.7,-1.9,22.0,M
2016-09-19T03:15:53Z,-34.695385,-58.295771,20.0,39.0,,0.0,7,gps,1,1.0,3.5,-1.9,22.0,M
2016-09-19T03:16:15Z,-34.695385,-58.295771,20.0,38.0,,0.0,6,gps,1,0.9,2.7,-1.9,22.0,M
2016-09-19T03:16:31Z,-34.695385,-58.295771,20.0,35.0,,0.0,8,gps,1,0.9,1.6,-1.9,22.0,M
2016-09-19T03:16:58Z,-34.695385,-58.295771,20.0,36.0,,0.0,10,gps,3.9,1.0,4.1,-1.9,22.0,M
2016-09-19T03:17:20Z,-34.695385,-58.295771,20.0,37.0,,0.0,9,gps,1,0.9,1.6,-1.9,22.0,M
2016-09-19T03:17:53Z,-34.695385,-58.295771,20.0,35.0,,0.0,8,gps,1.4,1.0,1.7,-1.9,22.0,M
2016-09-19T03:18:16Z,-34.695385,-58.295771,20.0,38.0,,0.0,7,gps,1,1.0,3.6,-1.9,22.0,M
2016-09-19T03:18:38Z,-34.695385,-58.295771,20.0,29.0,,0.0,7,gps,1,1.0,2.3,-1.9,22.0,M
2016-09-19T03:19:05Z,-34.695385,-58.295771,20.0,38.0,,0.0,7,gps,1,1.0,6.2,-1.9,22.0,M
2016-09-19T03:20:06Z,-34.695385,-58.295771,20.0,39.0,,0.0,7,gps,1,1.0,2.8,-1.9,22.0,M
2016-09-19T03:20:46Z,-34.695385,-58.295771,20.0,40.0,,0.0,6,gps,1,1.0,4.9,-1.9,22.0,M
2016-09-19T03:21:19Z,-34.695385,-58.295771,20.0,39.0,,0.0,7,gps,1,,,-1.9,22.0,M
2016-09-19T03:21:41Z,-34.695385,-58.295771,20.0,26.0,,0.0,7,gps,1,0.9,3.4,-1.9,22.0,M
2016-09-19T03:21:55Z,-34.695385,-58.295771,20.0,35.0,,0.0,6,gps,1,1.0,1.7,-1.9,22.0,M
2016-09-19T03:22:12Z,-34.695385,-58.295771,20.0,33.0,,0.0,8,gps,1,0.9,1.4,-1.9,22.0,M
2016-09-19T03:22:30Z,-34.695385,-58.295771,20.0,38.0,,0.0,7,gps,1,0.9,1.6,-1.9,22.0,M
2016-09-19T03:22:51Z,-34.695385,-58.295771,20.0,35.0,,0.0,7,gps,1,0.9,1.6,-1.9,22.0,M
2016-09-19T03:23:11Z,-34.695385,-58.295771,20.0,38.0,,0.0,6,gps,1,1.0,1.7,-1.9,22.0,M
2016-09-19T03:23:33Z,-34.695385,-58.295771,20.0,39.0,,0.0,7,gps,1,0.9,1.6,-1.9,22.0,M
2016-09-19T03:23:54Z,-34.695385,-58.295771,20.0,40.0,,0.0,6,gps,1,1.0,1.7,-1.9,22.0,M
2016-09-19T03:24:10Z,-34.695385,-58.295771,20.0,37.0,,0.0,7,gps,1,,,-1.9,22.0,M
2016-09-19T03:24:25Z,-34.695385,-58.295771,20.0,35.0,,0.0,8,gps,1,0.9,1.4,-1.9,22.0,M
2016-09-19T03:24:40Z,-34.695385,-58.295770,20.0,31.0,,0.0,7,gps,1,0.9,1.6,-1.9,22.0,M
2016-09-19T03:24:53Z,-34.695385,-58.295770,20.0,40.0,,0.0,6,gps,1,0.9,1.4,-1.9,22.0,M
2016-09-19T03:25:08Z,-34.695385,-58.295770,20.0,40.0,,0.0,6,gps,1.4,1.0,1.7,-1.9,22.0,M
